Date,Time,Laptime,Laptime(ms),STATUS_MAXMIN,Idc_1(A),Idc_2(A),Idc_3(A)
2026/01/14,10:01:35,95,95000,NORMAL,19.864,20.206,19.903
2026/01/14,10:01:36,96,96000,NORMAL,19.836,20.228,20.049
2026/01/14,10:01:37,97,97000,NORMAL,19.846,20.069,20.123
2026/01/14,10:01:38,98,98000,NORMAL,20.05,20.12,19.833
2026/01/14,10:01:39,99,99000,NORMAL,20.196,20.093,19.887
2026/01/14,10:01:40,100,100000,NORMAL,20.024,20.085,19.995
2026/01/14,10:01:41,101,101000,NORMAL,19.901,19.995,19.927
2026/01/14,10:01:42,102,102000,NORMAL,19.965,20.176,19.928
2026/01/14,10:01:43,103,103000,NORMAL,20.077,20.061,19.863
2026/01/14,10:01:44,104,104000,NORMAL,19.958,19.987,19.943
2026/01/14,10:01:45,105,105000,NORMAL,19.894,20.267,19.916
2026/01/14,10:01:46,106,106000,NORMAL,20.2,19.953,19.902
2026/01/14,10:01:47,107,107000,NORMAL,20.015,20.045,20.136
2026/01/14,10:01:48,108,108000,NORMAL,20.16,20.061,19.829
2026/01/14,10:01:49,109,109000,NORMAL,20.055,20.182,20.135
2026/01/14,10:01:50,110,110000,NORMAL,20.225,20.176,19.845
2026/01/14,10:01:51,111,111000,NORMAL,20.201,19.919,20.126
2026/01/14,10:01:52,112,112000,NORMAL,20.005,20.042,19.885
2026/01/14,10:01:53,113,113000,NORMAL,19.842,20.261,19.981
2026/01/14,10:01:54,114,114000,NORMAL,20.071,19.894,19.988
2026/01/14,10:01:55,115,115000,NORMAL,20.187,19.901,19.996
2026/01/14,10:01:56,116,116000,NORMAL,20.072,19.885,19.85
2026/01/14,10:01:57,117,117000,NORMAL,20.055,20.118,19.995
2026/01/14,10:01:58,118,118000,NORMAL,19.855,20.177,20.055
2026/01/14,10:01:59,119,119000,NORMAL,20.185,19.92,19.811
2026/01/14,10:02:00,120,120000,NORMAL,20.048,20.272,20.179
2026/01/14,10:02:01,121,121000,NORMAL,20.073,20.073,19.878
2026/01/14,10:02:02,122,122000,NORMAL,19.924,20.209,19.848
2026/01/14,10:02:03,123,123000,NORMAL,20.115,20.22,20.157
2026/01/14,10:02:04,124,124000,NORMAL,20.12,19.884,20.013
2026/01/14,10:02:05,125,125000,NORMAL,20.195,19.888,20.137
2026/01/14,10:02:06,126,126000,NORMAL,20.214,20.237,20.05
2026/01/14,10:02:07,127,127000,NORMAL,19.979,20.247,20.162
2026/01/14,10:02:08,128,128000,NORMAL,19.968,20.158,20.181
2026/01/14,10:02:09,129,129000,NORMAL,20.061,19.946,20.011
2026/01/14,10:02:10,130,130000,NORMAL,20.031,19.959,20.061
2026/01/14,10:02:11,131,131000,NORMAL,20.105,20.005,19.945
2026/01/14,10:02:12,132,132000,NORMAL,20.193,20.076,20.049
2026/01/14,10:02:13,133,133000,NORMAL,20.106,19.936,19.949
2026/01/14,10:02:14,134,134000,NORMAL,20.124,19.888,19.904
2026/01/14,10:02:15,135,135000,NORMAL,19.837,19.958,20.133
2026/01/14,10:02:16,136,136000,NORMAL,19.844,19.969,20.123
2026/01/14,10:02:17,137,137000,NORMAL,20.036,20.185,20.105
2026/01/14,10:02:18,138,138000,NORMAL,20.205,20.073,20.097
2026/01/14,10:02:19,139,139000,NORMAL,19.902,19.965,19.876
2026/01/14,10:02:20,140,140000,NORMAL,19.94,20.263,19.823
2026/01/14,10:02:21,141,141000,NORMAL,20.151,19.931,20.156
2026/01/14,10:02:22,142,142000,NORMAL,20.127,20.102,20.157
2026/01/14,10:02:23,143,143000,NORMAL,19.934,20.107,20.089
2026/01/14,10:02:24,144,144000,NORMAL,20.184,20.12,19.875
2026/01/14,10:02:25,145,145000,NORMAL,20.209,20.09,20.134
2026/01/14,10:02:26,146,146000,NORMAL,20.17,20.069,19.853
2026/01/14,10:02:27,147,147000,NORMAL,19.931,20.111,20.007
2026/01/14,10:02:28,148,148000,NORMAL,19.962,20.156,19.851
2026/01/14,10:02:29,149,149000,NORMAL,19.983,20.131,19.987
2026/01/14,10:02:30,150,150000,NORMAL,20.186,20.101,19.943
2026/01/14,10:02:31,151,151000,NORMAL,19.904,19.966,20.004
2026/01/14,10:02:32,152,152000,NORMAL,19.99,19.991,19.92
2026/01/14,10:02:33,153,153000,NORMAL,20.008,20.254,19.842
2026/01/14,10:02:34,154,154000,NORMAL,20.026,20.01,20.169
2026/01/14,10:02:35,155,155000,NORMAL,19.865,20.094,20.097
2026/01/14,10:02:36,156,156000,NORMAL,19.878,20.252,20.026
2026/01/14,10:02:37,157,157000,NORMAL,19.973,20.278,20.108
2026/01/14,10:02:38,158,158000,NORMAL,19.993,20.057,19.886
2026/01/14,10:02:39,159,159000,NORMAL,20.156,20.021,20.074
2026/01/14,10:02:40,160,160000,NORMAL,20.042,20.245,19.802
2026/01/14,10:02:41,161,161000,NORMAL,19.984,20.164,20.086
2026/01/14,10:02:42,162,162000,NORMAL,19.869,19.957,20.024
2026/01/14,10:02:43,163,163000,NORMAL,19.876,20.016,19.851
2026/01/14,10:02:44,164,164000,NORMAL,20.07,20.211,20.149
2026/01/14,10:02:45,165,165000,NORMAL,19.941,20.273,20.019
2026/01/14,10:02:46,166,166000,NORMAL,19.901,19.916,19.914
2026/01/14,10:02:47,167,167000,NORMAL,19.906,20.0,19.901
2026/01/14,10:02:48,168,168000,NORMAL,20.224,20.211,19.884
2026/01/14,10:02:49,169,169000,NORMAL,20.147,20.158,20.15
2026/01/14,10:02:50,170,170000,NORMAL,19.988,20.16,19.902
2026/01/14,10:02:51,171,171000,NORMAL,19.975,19.917,20.124
2026/01/14,10:02:52,172,172000,NORMAL,19.852,20.022,19.867
2026/01/14,10:02:53,173,173000,NORMAL,20.079,19.949,20.139
2026/01/14,10:02:54,174,174000,NORMAL,20.137,20.063,19.878
2026/01/14,10:02:55,175,175000,NORMAL,19.913,20.186,20.173
2026/01/14,10:02:56,176,176000,NORMAL,19.915,19.899,20.16
2026/01/14,10:02:57,177,177000,NORMAL,19.919,20.204,19.944
2026/01/14,10:02:58,178,178000,NORMAL,19.943,20.051,20.183
2026/01/14,10:02:59,179,179000,NORMAL,20.214,20.244,19.927
2026/01/14,10:03:00,180,180000,NORMAL,20.099,20.252,20.091
2026/01/14,10:03:01,181,181000,NORMAL,20.028,20.14,20.038
2026/01/14,10:03:02,182,182000,NORMAL,20.037,19.994,19.869
2026/01/14,10:03:03,183,183000,NORMAL,20.221,20.243,19.964
2026/01/14,10:03:04,184,184000,NORMAL,20.184,20.297,20.115
2026/01/14,10:03:05,185,185000,NORMAL,19.892,20.149,20.191
2026/01/14,10:03:06,186,186000,NORMAL,20.069,19.928,20.088
2026/01/14,10:03:07,187,187000,NORMAL,20.019,20.104,19.968
2026/01/14,10:03:08,188,188000,NORMAL,20.012,19.968,19.937
2026/01/14,10:03:09,189,189000,NORMAL,20.094,20.273,19.968
2026/01/14,10:03:10,190,190000,NORMAL,20.088,19.934,20.129
2026/01/14,10:03:11,191,191000,NORMAL,20.202,20.188,20.148
2026/01/14,10:03:12,192,192000,NORMAL,20.216,20.022,19.854
2026/01/14,10:03:13,193,193000,NORMAL,19.946,20.185,19.901
2026/01/14,10:03:14,194,194000,NORMAL,20.175,20.25,19.942
2026/01/14,10:03:15,195,195000,NORMAL,19.869,20.024,20.054
2026/01/14,10:03:16,196,196000,NORMAL,19.877,20.071,20.037
2026/01/14,10:03:17,197,197000,NORMAL,20.054,20.097,19.833
2026/01/14,10:03:18,198,198000,NORMAL,20.126,19.96,20.091
2026/01/14,10:03:19,199,199000,NORMAL,20.246,20.162,20.026
2026/01/14,10:03:20,200,200000,NORMAL,19.886,19.927,19.912
2026/01/14,10:03:21,201,201000,NORMAL,19.961,20.22,20.17
2026/01/14,10:03:22,202,202000,NORMAL,20.133,19.943,20.116
2026/01/14,10:03:23,203,203000,NORMAL,20.216,19.971,20.047
2026/01/14,10:03:24,204,204000,NORMAL,19.927,20.1,19.869
2026/01/14,10:03:25,205,205000,NORMAL,20.025,20.287,19.877
2026/01/14,10:03:26,206,206000,NORMAL,20.168,20.008,19.954
2026/01/14,10:03:27,207,207000,NORMAL,19.88,19.924,19.942
2026/01/14,10:03:28,208,208000,NORMAL,20.173,20.04,20.162
2026/01/14,10:03:29,209,209000,NORMAL,20.189,20.033,20.039
2026/01/14,10:03:30,210,210000,NORMAL,19.985,20.276,20.115
2026/01/14,10:03:31,211,211000,NORMAL,20.016,19.945,19.854
2026/01/14,10:03:32,212,212000,NORMAL,20.017,20.192,20.028
2026/01/14,10:03:33,213,213000,NORMAL,20.18,20.212,19.806
2026/01/14,10:03:34,214,214000,NORMAL,20.011,20.184,19.839
2026/01/14,10:03:35,215,215000,NORMAL,20.071,20.05,20.084
2026/01/14,10:03:36,216,216000,NORMAL,19.881,20.187,19.86
2026/01/14,10:03:37,217,217000,NORMAL,20.212,20.092,19.837
2026/01/14,10:03:38,218,218000,NORMAL,19.991,19.978,19.929
2026/01/14,10:03:39,219,219000,NORMAL,19.901,20.001,20.167
2026/01/14,10:03:40,220,220000,NORMAL,20.183,19.952,19.891
2026/01/14,10:03:41,221,221000,NORMAL,19.949,20.211,20.171
2026/01/14,10:03:42,222,222000,NORMAL,20.036,19.94,20.144
2026/01/14,10:03:43,223,223000,NORMAL,20.134,20.107,19.921
2026/01/14,10:03:44,224,224000,NORMAL,20.154,20.026,20.104
2026/01/14,10:03:45,225,225000,NORMAL,19.989,20.154,20.01
2026/01/14,10:03:46,226,226000,NORMAL,20.0,19.961,20.075
2026/01/14,10:03:47,227,227000,NORMAL,20.226,19.968,20.107
2026/01/14,10:03:48,228,228000,NORMAL,20.13,19.932,19.953
2026/01/14,10:03:49,229,229000,NORMAL,19.939,19.931,20.164
2026/01/14,10:03:50,230,230000,NORMAL,20.176,20.061,19.916
2026/01/14,10:03:51,231,231000,NORMAL,20.083,20.118,20.051
2026/01/14,10:03:52,232,232000,NORMAL,20.186,20.296,20.117
2026/01/14,10:03:53,233,233000,NORMAL,20.146,20.21,20.009
2026/01/14,10:03:54,234,234000,NORMAL,20.194,20.089,19.843
2026/01/14,10:03:55,235,235000,NORMAL,19.982,20.161,20.031
2026/01/14,10:03:56,236,236000,NORMAL,20.247,20.234,19.84
2026/01/14,10:03:57,237,237000,NORMAL,20.013,20.227,19.929
2026/01/14,10:03:58,238,238000,NORMAL,20.013,20.244,20.031
2026/01/14,10:03:59,239,239000,NORMAL,20.15,20.188,20.21
2026/01/14,10:04:00,240,240000,NORMAL,20.103,19.935,19.976
2026/01/14,10:04:01,241,241000,NORMAL,19.891,20.127,20.036
2026/01/14,10:04:02,242,242000,NORMAL,19.944,19.919,19.984
2026/01/14,10:04:03,243,243000,NORMAL,19.907,20.121,19.995
2026/01/14,10:04:04,244,244000,NORMAL,20.182,19.978,20.074
2026/01/14,10:04:05,245,245000,NORMAL,20.046,20.165,20.044
2026/01/14,10:04:06,246,246000,NORMAL,19.955,20.024,19.859
2026/01/14,10:04:07,247,247000,NORMAL,20.113,20.234,20.007
2026/01/14,10:04:08,248,248000,NORMAL,19.974,20.206,20.096
2026/01/14,10:04:09,249,249000,NORMAL,19.961,19.978,20.136
2026/01/14,10:04:10,250,250000,NORMAL,20.214,20.099,20.152
2026/01/14,10:04:11,251,251000,NORMAL,19.893,19.951,20.019
2026/01/14,10:04:12,252,252000,NORMAL,19.91,19.99,19.893
2026/01/14,10:04:13,253,253000,NORMAL,20.119,20.174,19.923
2026/01/14,10:04:14,254,254000,NORMAL,20.035,20.124,19.993
2026/01/14,10:04:15,255,255000,NORMAL,20.226,20.293,20.213
2026/01/14,10:04:16,256,256000,NORMAL,20.076,20.208,19.962
2026/01/14,10:04:17,257,257000,NORMAL,20.258,20.287,19.878
2026/01/14,10:04:18,258,258000,NORMAL,19.972,20.016,20.19
2026/01/14,10:04:19,259,259000,NORMAL,20.24,20.277,20.213
2026/01/14,10:04:20,260,260000,NORMAL,19.958,20.134,19.969
2026/01/14,10:04:21,261,261000,NORMAL,20.107,19.961,20.128
2026/01/14,10:04:22,262,262000,NORMAL,20.113,20.099,20.113
2026/01/14,10:04:23,263,263000,NORMAL,20.167,20.276,20.131
2026/01/14,10:04:24,264,264000,NORMAL,20.053,20.283,20.161
2026/01/14,10:04:25,265,265000,NORMAL,20.164,20.135,20.15
2026/01/14,10:04:26,266,266000,NORMAL,19.96,20.031,19.995
2026/01/14,10:04:27,267,267000,NORMAL,20.129,19.926,19.991
2026/01/14,10:04:28,268,268000,NORMAL,20.026,20.173,20.055
2026/01/14,10:04:29,269,269000,NORMAL,20.13,20.132,19.857
2026/01/14,10:04:30,270,270000,NORMAL,20.078,20.245,19.834
2026/01/14,10:04:31,271,271000,NORMAL,19.921,20.124,20.035
2026/01/14,10:04:32,272,272000,NORMAL,20.039,20.023,19.908
2026/01/14,10:04:33,273,273000,NORMAL,20.121,20.254,19.91
2026/01/14,10:04:34,274,274000,NORMAL,20.182,20.189,19.925
2026/01/14,10:04:35,275,275000,NORMAL,20.144,20.068,20.072
2026/01/14,10:04:36,276,276000,NORMAL,20.037,20.186,19.844
2026/01/14,10:04:37,277,277000,NORMAL,20.045,20.138,20.18
2026/01/14,10:04:38,278,278000,NORMAL,20.266,20.126,19.828
2026/01/14,10:04:39,279,279000,NORMAL,20.083,20.171,19.987
2026/01/14,10:04:40,280,280000,NORMAL,20.163,20.165,20.135
2026/01/14,10:04:41,281,281000,NORMAL,20.258,20.258,20.154
2026/01/14,10:04:42,282,282000,NORMAL,19.965,19.939,19.91
2026/01/14,10:04:43,283,283000,NORMAL,20.229,20.085,19.985
2026/01/14,10:04:44,284,284000,NORMAL,20.049,20.197,19.92
2026/01/14,10:04:45,285,285000,NORMAL,19.93,19.956,19.866
2026/01/14,10:04:46,286,286000,NORMAL,20.257,20.208,20.102
2026/01/14,10:04:47,287,287000,NORMAL,19.898,19.98,19.838
2026/01/14,10:04:48,288,288000,NORMAL,20.058,20.099,20.058
2026/01/14,10:04:49,289,289000,NORMAL,19.905,20.207,19.9
2026/01/14,10:04:50,290,290000,NORMAL,20.013,20.05,20.188
2026/01/14,10:04:51,291,291000,NORMAL,20.196,19.958,19.9
2026/01/14,10:04:52,292,292000,NORMAL,19.911,19.992,19.835
2026/01/14,10:04:53,293,293000,NORMAL,20.05,20.193,19.859
2026/01/14,10:04:54,294,294000,NORMAL,20.228,20.175,20.129
2026/01/14,10:04:55,295,295000,NORMAL,20.037,19.932,19.921
2026/01/14,10:04:56,296,296000,NORMAL,20.047,20.049,20.015
2026/01/14,10:04:57,297,297000,NORMAL,20.107,20.264,20.023
2026/01/14,10:04:58,298,298000,NORMAL,19.902,20.093,20.098
2026/01/14,10:04:59,299,299000,NORMAL,20.151,20.061,19.866
2026/01/14,10:05:00,300,300000,NORMAL,19.987,20.138,19.864
2026/01/14,10:05:01,301,301000,NORMAL,19.977,19.974,19.838
2026/01/14,10:05:02,302,302000,NORMAL,20.11,20.245,20.086
2026/01/14,10:05:03,303,303000,NORMAL,19.94,20.174,19.888
2026/01/14,10:05:04,304,304000,NORMAL,20.234,19.963,19.911
2026/01/14,10:05:05,305,305000,NORMAL,20.024,20.061,20.038
2026/01/14,10:05:06,306,306000,NORMAL,20.14,20.068,20.177
2026/01/14,10:05:07,307,307000,NORMAL,20.107,20.04,20.081
2026/01/14,10:05:08,308,308000,NORMAL,20.159,20.221,20.131
2026/01/14,10:05:09,309,309000,NORMAL,20.041,20.074,20.008
2026/01/14,10:05:10,310,310000,NORMAL,20.207,20.123,20.218
2026/01/14,10:05:11,311,311000,NORMAL,19.961,20.16,20.21
2026/01/14,10:05:12,312,312000,NORMAL,20.245,20.127,19.95
2026/01/14,10:05:13,313,313000,NORMAL,20.114,20.09,20.031
2026/01/14,10:05:14,314,314000,NORMAL,20.092,20.066,19.852
2026/01/14,10:05:15,315,315000,NORMAL,19.937,19.968,20.079
2026/01/14,10:05:16,316,316000,NORMAL,19.965,20.006,20.019
2026/01/14,10:05:17,317,317000,NORMAL,20.28,20.179,20.215
2026/01/14,10:05:18,318,318000,NORMAL,20.086,20.227,20.176
2026/01/14,10:05:19,319,319000,NORMAL,20.095,20.103,19.948
2026/01/14,10:05:20,320,320000,NORMAL,20.07,20.154,20.17
2026/01/14,10:05:21,321,321000,NORMAL,19.89,20.244,19.895
2026/01/14,10:05:22,322,322000,NORMAL,20.126,20.17,19.901
2026/01/14,10:05:23,323,323000,NORMAL,19.944,20.14,20.001
2026/01/14,10:05:24,324,324000,NORMAL,20.086,20.041,20.034
2026/01/14,10:05:25,325,325000,NORMAL,20.229,20.287,20.133
2026/01/14,10:05:26,326,326000,NORMAL,20.165,20.29,19.975
2026/01/14,10:05:27,327,327000,NORMAL,20.137,20.06,19.888
2026/01/14,10:05:28,328,328000,NORMAL,20.252,20.109,19.954
2026/01/14,10:05:29,329,329000,NORMAL,19.965,20.289,20.124
2026/01/14,10:05:30,330,330000,NORMAL,19.968,20.034,19.858
2026/01/14,10:05:31,331,331000,NORMAL,20.276,20.167,19.913
2026/01/14,10:05:32,332,332000,NORMAL,19.886,20.194,20.19
2026/01/14,10:05:33,333,333000,NORMAL,20.024,19.959,19.963
2026/01/14,10:05:34,334,334000,NORMAL,20.018,20.149,19.942
2026/01/14,10:05:35,335,335000,NORMAL,20.136,20.269,20.137
2026/01/14,10:05:36,336,336000,NORMAL,20.057,19.981,19.932
2026/01/14,10:05:37,337,337000,NORMAL,20.129,19.939,20.042
2026/01/14,10:05:38,338,338000,NORMAL,20.256,20.052,19.928
2026/01/14,10:05:39,339,339000,NORMAL,19.948,20.131,20.091
2026/01/14,10:05:40,340,340000,NORMAL,19.948,20.336,19.93
2026/01/14,10:05:41,341,341000,NORMAL,20.17,20.286,20.225
2026/01/14,10:05:42,342,342000,NORMAL,20.136,20.139,19.93
2026/01/14,10:05:43,343,343000,NORMAL,20.171,20.074,20.036
2026/01/14,10:05:44,344,344000,NORMAL,19.895,20.214,20.201
2026/01/14,10:05:45,345,345000,NORMAL,20.228,20.291,19.933
2026/01/14,10:05:46,346,346000,NORMAL,20.192,20.008,19.959
2026/01/14,10:05:47,347,347000,NORMAL,20.135,20.149,20.204
2026/01/14,10:05:48,348,348000,NORMAL,20.055,20.147,20.081
2026/01/14,10:05:49,349,349000,NORMAL,20.038,20.016,20.094
2026/01/14,10:05:50,350,350000,NORMAL,20.114,19.983,20.05
2026/01/14,10:05:51,351,351000,NORMAL,20.057,20.164,19.995
2026/01/14,10:05:52,352,352000,NORMAL,19.929,19.98,20.023
2026/01/14,10:05:53,353,353000,NORMAL,19.942,20.155,19.856
2026/01/14,10:05:54,354,354000,NORMAL,20.057,20.27,20.029
2026/01/14,10:05:55,355,355000,NORMAL,20.075,20.251,20.005
2026/01/14,10:05:56,356,356000,NORMAL,19.928,19.978,19.897
2026/01/14,10:05:57,357,357000,NORMAL,20.142,19.997,19.975
2026/01/14,10:05:58,358,358000,NORMAL,19.949,20.046,20.116
2026/01/14,10:05:59,359,359000,NORMAL,19.91,20.245,20.242
2026/01/14,10:06:00,360,360000,NORMAL,20.05,20.238,20.144
2026/01/14,10:06:01,361,361000,NORMAL,20.206,20.156,19.944
2026/01/14,10:06:02,362,362000,NORMAL,20.012,20.089,19.918
2026/01/14,10:06:03,363,363000,NORMAL,20.277,20.116,20.021
2026/01/14,10:06:04,364,364000,NORMAL,19.911,20.029,19.954
2026/01/14,10:06:05,365,365000,NORMAL,20.138,20.217,20.173
2026/01/14,10:06:06,366,366000,NORMAL,19.97,19.955,19.865
2026/01/14,10:06:07,367,367000,NORMAL,20.055,20.301,20.179
2026/01/14,10:06:08,368,368000,NORMAL,19.996,19.968,20.214
2026/01/14,10:06:09,369,369000,NORMAL,20.208,19.999,19.986
2026/01/14,10:06:10,370,370000,NORMAL,20.152,20.173,20.112
2026/01/14,10:06:11,371,371000,NORMAL,20.107,19.972,20.107
2026/01/14,10:06:12,372,372000,NORMAL,20.228,20.341,20.055
2026/01/14,10:06:13,373,373000,NORMAL,20.026,20.11,19.876
2026/01/14,10:06:14,374,374000,NORMAL,20.107,20.113,20.001
2026/01/14,10:06:15,375,375000,NORMAL,19.995,20.316,20.135
2026/01/14,10:06:16,376,376000,NORMAL,20.268,20.125,20.046
2026/01/14,10:06:17,377,377000,NORMAL,19.942,20.032,20.147
2026/01/14,10:06:18,378,378000,NORMAL,20.022,20.29,20.058
2026/01/14,10:06:19,379,379000,NORMAL,20.158,20.299,19.899
2026/01/14,10:06:20,380,380000,NORMAL,20.201,20.214,19.924
2026/01/14,10:06:21,381,381000,NORMAL,19.992,20.109,20.164
2026/01/14,10:06:22,382,382000,NORMAL,19.947,20.184,20.008
2026/01/14,10:06:23,383,383000,NORMAL,20.197,20.251,19.864
2026/01/14,10:06:24,384,384000,NORMAL,20.107,20.123,19.95
